# xmin, ymin, xmax, ymax, varxc, varyc, varw, varh
7.056050896644592285e-01,0.000000000000000000e+00,8.470264673233032227e-01,4.851323366165161133e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
7.409604787826538086e-01,0.000000000000000000e+00,8.116711378097534180e-01,8.386857062578201294e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
7.526316046714782715e-01,0.000000000000000000e+00,8.526315689086914062e-01,6.315789371728897095e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
7.319208979606628418e-01,0.000000000000000000e+00,8.733422756195068359e-01,4.851323366165161133e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
7.672762274742126465e-01,0.000000000000000000e+00,8.379869461059570312e-01,8.386857062578201294e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
7.789473533630371094e-01,0.000000000000000000e+00,8.789473772048950195e-01,6.315789371728897095e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
7.582367062568664551e-01,0.000000000000000000e+00,8.996580243110656738e-01,4.851323366165161133e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
7.935920357704162598e-01,0.000000000000000000e+00,8.643026947975158691e-01,8.386857062578201294e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
8.052631616592407227e-01,0.000000000000000000e+00,9.052631855010986328e-01,6.315789371728897095e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
7.845524549484252930e-01,0.000000000000000000e+00,9.259738326072692871e-01,4.851323366165161133e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
8.199078440666198730e-01,0.000000000000000000e+00,8.906185030937194824e-01,8.386857062578201294e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
8.315789699554443359e-01,0.000000000000000000e+00,9.315789341926574707e-01,6.315789371728897095e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
8.108682632446289062e-01,0.000000000000000000e+00,9.522896409034729004e-01,4.851323366165161133e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
8.462235927581787109e-01,0.000000000000000000e+00,9.169343113899230957e-01,8.386857062578201294e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
8.578947186470031738e-01,0.000000000000000000e+00,9.578947424888610840e-01,6.315789371728897095e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
8.371840715408325195e-01,0.000000000000000000e+00,9.786053895950317383e-01,4.851323366165161133e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
8.725394010543823242e-01,0.000000000000000000e+00,9.432500600814819336e-01,8.386857062578201294e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
8.842105269432067871e-01,0.000000000000000000e+00,9.842105507850646973e-01,6.315789371728897095e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
8.634998202323913574e-01,0.000000000000000000e+00,1.000000000000000000e+00,4.851323366165161133e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
8.988552093505859375e-01,0.000000000000000000e+00,9.695658683776855469e-01,8.386857062578201294e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
9.105263352394104004e-01,0.000000000000000000e+00,1.000000000000000000e+00,6.315789371728897095e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
8.898156285285949707e-01,0.000000000000000000e+00,1.000000000000000000e+00,4.851323366165161133e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
9.251709580421447754e-01,0.000000000000000000e+00,9.958816766738891602e-01,8.386857062578201294e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
9.368420839309692383e-01,0.000000000000000000e+00,1.000000000000000000e+00,6.315789371728897095e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
9.161314368247985840e-01,0.000000000000000000e+00,1.000000000000000000e+00,4.851323366165161133e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
9.514867663383483887e-01,0.000000000000000000e+00,1.000000000000000000e+00,8.386857062578201294e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
0.000000000000000000e+00,0.000000000000000000e+00,6.315789371728897095e-02,8.947368711233139038e-02,1.000000014901161194e-01,1.000000014901161194e-01,2.000000029802322388e-01,2.000000029802322388e-01
